no_cidade,nota,data_ref
"Licínio de Almeida","9.27121576570874","2011-12-31"
"Itacarambi","10","2011-12-31"
"Itaipé","7.28180059069152","2011-12-31"
"Pinheiro Machado","6.40104506858263","2011-12-31"
"Itamarandiba","7.66213873318857","2011-12-31"
"Severiano Melo","10","2011-12-31"
"Itambacuri","8.15834608074908","2011-12-31"
"Itambé do Mato Dentro","10","2011-12-31"
"Itanhomi","8.9908553856114","2011-12-31"
"Itaverava","9.45740591758291","2011-12-31"
"Itinga","8.68715863333732","2011-12-31"
"Itueta","8.29868753566479","2011-12-31"
"São Manuel","4.85950798647546","2011-12-31"
"Ituiutaba","6.68365121990406","2011-12-31"
"Jaboticatubas","9.5705557003446","2011-12-31"
"Jaíba","7.68386203168812","2011-12-31"
"Januária","2.46794076280301","2011-12-31"
"Jaguaribe","10","2011-12-31"
"Japonvar","10","2011-12-31"
"Abaiara","10","2011-12-31"
"Jequitibá","10","2011-12-31"
"Jequitinhonha","10","2011-12-31"
"Joaíma","6.97346884397244","2011-12-31"
"Moita Bonita","3.04331763184631","2011-12-31"
"Itumirim","10","2011-12-31"
"Dom Feliciano","4.18292382860558","2011-12-31"
"Planalto","9.33243727598566","2011-12-31"
"João Pinheiro","8.27441824778315","2011-12-31"
"Joaquim Felício","10","2011-12-31"
"Jordânia","7.9661558109834","2011-12-31"
"José Gonçalves de Minas","10","2011-12-31"
"Rubinéia","9.24382716049383","2011-12-31"
"Nova União","10","2011-12-31"
"Castanhal","7.13880923985215","2011-12-31"
"Juramento","7.89959394610557","2011-12-31"
"Juvenília","5.6639085894405","2011-12-31"
"Lagoa da Prata","8.29211858279103","2011-12-31"
"Lagoa dos Patos","10","2011-12-31"
"Lagoa Dourada","9.35376201391402","2011-12-31"
"Lagoa Santa","5.37086507700933","2011-12-31"
"Borebi","10","2011-12-31"
"Oliveira dos Brejinhos","10","2011-12-31"
"Lajinha","7.06956956956957","2011-12-31"
"Campos Lindos","2.61982983741892","2011-12-31"
"Cana Verde","9.63306694165163","2011-12-31"
"Laranjal","8.52311939268461","2011-12-31"
"Limeira do Oeste","4.45138888888889","2011-12-31"
"Bocaina","10","2011-12-31"
"Cabo de Santo Agostinho","9.39045323399437","2011-12-31"
"Baraúna","10","2011-12-31"
"Novo Jardim","9.29339477726574","2011-12-31"
"Porto Rico do Maranhão","2.88850375505488","2011-12-31"
"Crateús","3.39894720482205","2011-12-31"
"Periquito","7.75486064907223","2011-12-31"
"Janduís","10","2011-12-31"
"Onça de Pitangui","6.95071010860485","2011-12-31"
"Jaguaruana","8.77498509523361","2011-12-31"
"Indiara","7.85180507315019","2011-12-31"
"Carnaubais","10","2011-12-31"
"Terra Roxa","6.14881483283332","2011-12-31"
"Iporã","7.50750750750751","2011-12-31"
"Jeceaba","10","2011-12-31"
"São Mateus do Maranhão","0.825884462958142","2011-12-31"
"Araci","5.46502566923359","2011-12-31"
"Riachuelo","10","2011-12-31"
"Araçuaí","9.74679305173343","2011-12-31"
"Frederico Westphalen","4.76324557698625","2011-12-31"
"Liberdade","6.98897370653096","2011-12-31"
"Santópolis do Aguapeí","7.17664705203646","2011-12-31"
"Tamboril do Piauí","5.82205822058221","2011-12-31"
"Maria Helena","10","2011-12-31"
"Frutal","3.12335690903848","2011-12-31"
"Caiçara","9.23181245761891","2011-12-31"
"Fortaleza dos Valos","9.30346792415758","2011-12-31"
"Garanhuns","5.7013711339094","2011-12-31"
"Cacimba de Dentro","9.50575537111043","2011-12-31"
"Vertente do Lério","6.1789625955776","2011-12-31"
"Tuiuti","7.58440323347599","2011-12-31"
"Reginópolis","6.25389200249088","2011-12-31"
"Antônio Carlos","7.7821253338302","2011-12-31"
"Flor do Sertão","10","2011-12-31"
"Goianá","9.44822373393802","2011-12-31"
"Nanuque","9.07129444969268","2011-12-31"
"Amajari","9.8565043519172","2011-12-31"
"Solânea","10","2011-12-31"
"Breves","5.75380486168298","2011-12-31"
"Cafezal do Sul","10","2011-12-31"
"Capistrano","10","2011-12-31"
"Queiroz","9.1679915209327","2011-12-31"
"Santo Augusto","9.14810620359884","2011-12-31"
"Salvador","6.57919874086849","2011-12-31"
"Pombos","5.79391272460579","2011-12-31"
"Porteirinha","6.67859040657361","2011-12-31"
"Arame","3.98180485491312","2011-12-31"
"Macarani","6.32672332389046","2011-12-31"
"Coelho Neto","10","2011-12-31"
"Luiziânia","3.85527876631079","2011-12-31"
"Eugenópolis","8.0251804895228","2011-12-31"
"Valente","10","2011-12-31"
"Diorama","8.21256038647343","2011-12-31"
"São João do Itaperiú","9.99273783587509","2011-12-31"
"Morro Agudo de Goiás","6.76409968146899","2011-12-31"
"Diamante do Norte","10","2011-12-31"
"Leopoldina","6.77637352992803","2011-12-31"
"Capivari do Sul","10","2011-12-31"
"Nossa Senhora de Lourdes","5.7640974307641","2011-12-31"
"Rondinha","10","2011-12-31"
"Marcelino Vieira","5.96606458675424","2011-12-31"
"Fortuna","3.31092566836656","2011-12-31"
"Itaúna do Sul","9.23557828928673","2011-12-31"
"Anajás","4.64686972850823","2011-12-31"
"São Jorge","8.51370851370851","2011-12-31"
"Estância","8.79363777230881","2011-12-31"
"Ajuricaba","8.85038196385318","2011-12-31"
"Cuparaque","7.88666878105508","2011-12-31"
